,index,date,annee,mois,ia générative,ia générale,cv
0,0,2019-01-01,2019,1,2.0,181.0,40.0
1,1,2019-02-01,2019,2,2.0,195.0,53.0
2,2,2019-03-01,2019,3,6.0,752.0,195.0
3,3,2019-04-01,2019,4,1.0,383.0,71.0
4,4,2019-05-01,2019,5,2.0,505.0,124.0
5,5,2019-06-01,2019,6,4.0,608.0,128.0
6,6,2019-07-01,2019,7,2.0,556.0,116.0
7,7,2019-08-01,2019,8,2.0,405.0,68.0
8,8,2019-09-01,2019,9,2.0,547.0,152.0
9,9,2019-10-01,2019,10,10.0,1033.0,183.0
10,10,2019-11-01,2019,11,2.0,1104.0,188.0
11,11,2019-12-01,2019,12,15.0,1252.0,164.0
12,12,2020-01-01,2020,1,10.0,1494.0,218.0
13,13,2020-02-01,2020,2,18.0,1024.0,267.0
14,14,2020-03-01,2020,3,22.0,935.0,158.0
15,15,2020-04-01,2020,4,10.0,803.0,107.0
16,16,2020-05-01,2020,5,14.0,554.0,85.0
17,17,2020-06-01,2020,6,18.0,609.0,164.0
18,18,2020-07-01,2020,7,12.0,711.0,189.0
19,19,2020-08-01,2020,8,10.0,719.0,199.0
20,20,2020-09-01,2020,9,19.0,1169.0,254.0
21,21,2020-10-01,2020,10,13.0,1506.0,300.0
22,22,2020-11-01,2020,11,13.0,1286.0,310.0
23,23,2020-12-01,2020,12,20.0,1258.0,267.0
24,24,2021-01-01,2021,1,0.0,1155.0,238.0
25,25,2021-02-01,2021,2,16.0,1200.0,180.0
26,26,2021-03-01,2021,3,36.0,1779.0,243.0
27,27,2021-04-01,2021,4,24.0,2052.0,336.0
28,28,2021-05-01,2021,5,34.0,2309.0,260.0
29,29,2021-06-01,2021,6,32.0,3501.0,462.0
30,30,2021-07-01,2021,7,35.0,3230.0,415.0
31,31,2021-08-01,2021,8,27.0,2745.0,251.0
32,32,2021-09-01,2021,9,36.0,3089.0,341.0
33,33,2021-10-01,2021,10,57.0,4266.0,537.0
34,34,2021-11-01,2021,11,45.0,2805.0,437.0
35,35,2021-12-01,2021,12,53.0,3489.0,553.0
36,36,2022-01-01,2022,1,20.0,3589.0,474.0
37,37,2022-02-01,2022,2,49.0,3204.0,490.0
38,38,2022-03-01,2022,3,45.0,3318.0,381.0
39,39,2022-04-01,2022,4,76.0,3660.0,362.0
40,40,2022-05-01,2022,5,24.0,3057.0,308.0
41,41,2022-06-01,2022,6,31.0,2313.0,278.0
42,42,2022-07-01,2022,7,28.0,1854.0,291.0
43,43,2022-08-01,2022,8,25.0,1783.0,240.0
44,44,2022-09-01,2022,9,24.0,2008.0,279.0
45,45,2022-10-01,2022,10,64.0,3113.0,419.0
46,46,2022-11-01,2022,11,37.0,2534.0,327.0
47,47,2022-12-01,2022,12,49.0,3027.0,325.0
48,48,2023-01-01,2023,1,54.0,2253.0,301.0
49,49,2023-02-01,2023,2,34.0,2259.0,332.0
50,50,2023-03-01,2023,3,42.0,2000.0,249.0
51,51,2023-04-01,2023,4,51.0,1540.0,203.0
52,52,2023-05-01,2023,5,42.0,1631.0,187.0
53,53,2023-06-01,2023,6,100.0,1960.0,207.0
54,54,2023-07-01,2023,7,87.0,1613.0,219.0
55,55,2023-08-01,2023,8,83.0,1220.0,196.0
56,56,2023-09-01,2023,9,122.0,1317.0,266.0
57,57,2023-10-01,2023,10,281.0,1563.0,415.0
58,58,2023-11-01,2023,11,155.0,1643.0,282.0
59,59,2023-12-01,2023,12,216.0,1759.0,245.0
60,60,2024-01-01,2024,1,119.0,801.0,161.0
61,61,2024-02-01,2024,2,148.0,1015.0,188.0
62,62,2024-03-01,2024,3,172.0,1286.0,147.0
63,63,2024-04-01,2024,4,145.0,1160.0,65.0
64,64,2024-05-01,2024,5,212.0,1034.0,118.0
65,65,2024-06-01,2024,6,330.0,2046.0,224.0
66,66,2024-07-01,2024,7,722.0,2892.0,508.0
67,67,2024-08-01,2024,8,460.0,2060.0,228.0
68,68,2024-09-01,2024,9,240.0,1205.0,321.0
69,69,2024-10-01,2024,10,490.0,2209.0,349.0
70,70,2024-11-01,2024,11,322.0,1722.0,195.0
71,71,2024-12-01,2024,12,86.0,446.0,29.0
72,72,2025-01-01,2025,1,158.0,858.0,59.0
