date,"A - Agriculture, sylviculture et pêche",Administration/Armée,Autres services non financiers,Consulting,H - Transports et entreposage,IT Consulting,IT producers,K - Activités financières et d'assurance,Recherche,"industrie manufacturière, énergétique et minière"
2023-01-01,0.0,0.0,0.2641509433962264,0.11320754716981132,0.0,0.1320754716981132,0.33962264150943394,0.0,0.03773584905660377,0.11320754716981132
2023-02-01,0.0,0.0,0.23921832884097033,0.05660377358490566,0.0,0.13746630727762804,0.34838274932614555,0.07142857142857142,0.054582210242587595,0.09231805929919137
2023-03-01,0.0,0.0,0.17968090609600043,0.11854392986468458,0.0,0.13204824525579242,0.29286122682349097,0.05772005772005772,0.056590160363745264,0.1625554738762286
2023-04-01,0.0,0.011904761904761904,0.23595115576247652,0.10081270930327535,0.011904761904761904,0.11094094584660621,0.2791697296414277,0.05519480519480519,0.054347382177570853,0.1397737482643143
2023-05-01,0.0,0.011904761904761904,0.22426124600037642,0.09424995294560512,0.011904761904761904,0.12140033879164314,0.28122059100319974,0.07693393562958781,0.04491341991341991,0.1332109919066441
2023-06-01,0.0,0.020525451559934318,0.22241395535998237,0.09424995294560512,0.011904761904761904,0.12878950135321948,0.24365901464851988,0.10156447750150899,0.03567696671144947,0.14121591801501845
2023-07-01,0.0,0.020525451559934318,0.2513800872672907,0.053251735476799414,0.011904761904761904,0.10829039261881664,0.2472240770371117,0.17242009247477103,0.04013329469718922,0.09487010696332505
2023-08-01,0.0,0.008620689655172414,0.23352294441014787,0.05986549209055603,0.0,0.11490414923257325,0.24325582306885773,0.22533014538482393,0.028228532792427315,0.08627222336544145
2023-09-01,0.0,0.008620689655172414,0.24624828905489868,0.044223922631383174,0.0,0.09581613226544705,0.20507978913460534,0.27066418568174866,0.028228532792427315,0.10111845878431738
2023-10-01,0.0,0.002232142857142857,0.3597027225524356,0.06654535120281174,0.0,0.07056982684672786,0.1712127940607137,0.21478364380982745,0.021839985994397758,0.093113532675943
2023-11-01,0.0,0.002232142857142857,0.40053653180429166,0.07606372165778985,0.0,0.07047464314217806,0.16345532213990654,0.1581969314549826,0.002232142857142857,0.1268085640865655
2023-12-01,0.0,0.005173319327731092,0.3804384925886054,0.09725108549221251,0.0,0.08430906580013015,0.157899766584351,0.10808799899310897,0.002232142857142857,0.164608128356718
2024-01-01,0.006329113924050633,0.005173319327731092,0.37349190413537914,0.12279909413685591,0.0,0.07257704974579239,0.15975219017187803,0.05367305610950292,0.00856125678119349,0.19764301566761644
2024-02-01,0.006329113924050633,0.0029411764705882353,0.2609449116541761,0.12153029714437472,0.0,0.11787780162549163,0.19978978415684043,0.05447192828995404,0.011592271818787475,0.22452271491573672
2024-03-01,0.006329113924050633,0.0029411764705882353,0.23177857931043863,0.10480077776701775,0.0,0.1784169976457115,0.18745326806922108,0.040891730905696644,0.02398896603366351,0.22339938987361205
2024-04-01,0.006329113924050633,0.005050505050505051,0.22157358822309464,0.10044843076761191,0.0,0.21172062212580656,0.17785730847326148,0.043862616229523144,0.026514218558916034,0.2066435966472306
2024-05-01,0.0,0.0089875129245208,0.20475409255878682,0.09242490839145324,0.005905511811023622,0.26205452026195725,0.18234250731707688,0.04301541200346912,0.02412211250888115,0.1763934222228311
2024-06-01,0.0,0.011765290702298576,0.2049002913891962,0.09915005459028364,0.005905511811023622,0.2600077366362263,0.1661144371416383,0.05164114299762117,0.0327478435030332,0.16776769122867904
2024-07-01,0.0,0.01861460577079173,0.22702612632636363,0.1415478809233528,0.006761676194585266,0.2377050082313808,0.15602443374528369,0.06221229662605997,0.02377580682240374,0.12633216535977834
2024-08-01,0.0,0.013564100720286675,0.3149423253536738,0.1432313826068545,0.010876902532033826,0.21937354545547355,0.12385084601614042,0.04659314211801657,0.02125055429715121,0.10631720090036943
2024-09-01,0.0,0.01568769890687699,0.35496857207283383,0.17718509293851759,0.004971390721010204,0.1866844497742519,0.0838842509314351,0.04690333061718145,0.03852566763525668,0.0911895464026362
2024-10-01,0.0,0.012909921129099212,0.3867867538910157,0.18349822425164888,0.004971390721010204,0.19122990431970646,0.049793341840526015,0.03680232051617135,0.028424657534246577,0.10558348579657559
2024-11-01,0.0,0.006060606060606061,0.3786432368473712,0.16358742463393627,0.00411522633744856,0.18785834225110712,0.06002749284403031,0.02184267307006325,0.0501937984496124,0.12767119950582484
2024-12-01,0.00819672131147541,0.006060606060606061,0.25409017741270884,0.18392743677722712,0.00819672131147541,0.19791028855077655,0.07228884344782172,0.03617850252428979,0.05839051976108781,0.1747601828425313
2025-01-01,0.00819672131147541,0.0,0.23258480106862287,0.19355598027673834,0.00819672131147541,0.2321233872800043,0.07595453259738183,0.04287449470415294,0.037178398548966596,0.16933496290118233
