,index,Industrie,Services
0,0,0.0,0.0009535842849309843
1,1,0.004303388918773535,0.0009535842849309843
2,2,0.004303388918773535,0.0014303764273964764
3,3,0.004303388918773535,0.002860752854792953
4,4,0.004303388918773535,0.003337544997258445
5,5,0.004303388918773535,0.005244713567120414
6,6,0.006455083378160301,0.006198297852051398
7,7,0.00860677783754707,0.009059050706844351
8,8,0.010758472296933837,0.010489427134240828
9,9,0.01506186121570737,0.013826972131499273
10,10,0.01721355567509414,0.017641309271223208
11,11,0.019365250134480903,0.020502062126016164
12,12,0.025820333512641205,0.022886022838343623
13,13,0.0322754168908015,0.02574677569313658
14,14,0.04088219472834857,0.027177152120533055
15,15,0.047337278106508875,0.030991489260256994
16,16,0.055944055944055944,0.036236202827377405
17,17,0.06024744486282948,0.04386487710682528
18,18,0.06885422270037656,0.051970343528738645
19,19,0.07746100053792361,0.06579731566023793
20,20,0.0860677783754707,0.08248504064653014
21,21,0.09897794513179128,0.09488163635063294
22,22,0.11403980634749865,0.11538369847664912
23,23,0.129101667563206,0.12682670989582093
24,24,0.129101667563206,0.13683934488759625
